,,Transmission,,
lambda,radius (nm),Fe3O4,Fe2O3,Fe
400,10,0.97437,0.86873,0.51531
400,15,0.94093,0.74354,0.31729
400,20,0.90271,0.62525,0.21307
400,25,0.86826,0.52581,0.15366
400,30,0.84586,0.44367,0.11605
405,10,0.97633,0.87368,0.52298
405,15,0.94458,0.75099,0.32279
405,20,0.90772,0.63369,0.21691
405,25,0.87404,0.53445,0.15673
405,30,0.85168,0.45227,0.11878
410,10,0.97825,0.87843,0.53064
410,15,0.94816,0.75819,0.32836
410,20,0.91268,0.64189,0.2208
410,25,0.87981,0.54287,0.15979
410,30,0.8575,0.46065,0.12148
415,10,0.97998,0.88343,0.5382
415,15,0.95147,0.76605,0.33389
415,20,0.91733,0.65112,0.22463
415,25,0.88528,0.55258,0.16278
415,30,0.863,0.4705,0.12408
420,10,0.98167,0.88822,0.54573
420,15,0.95472,0.77365,0.33949
420,20,0.92194,0.66011,0.22851
420,25,0.89074,0.56206,0.16577
420,30,0.86852,0.48017,0.12665
425,10,0.98289,0.89325,0.5535
425,15,0.95721,0.78192,0.34545
425,20,0.92559,0.67017,0.23269
425,25,0.89512,0.57293,0.16897
425,30,0.87284,0.49145,0.12935
430,10,0.98409,0.89808,0.56121
430,15,0.95966,0.78993,0.35146
430,20,0.92919,0.67998,0.23691
430,25,0.89947,0.58358,0.17217
430,30,0.87719,0.50258,0.13203
435,10,0.98436,0.90292,0.56914
435,15,0.96052,0.7982,0.35771
435,20,0.93067,0.69041,0.24129
435,25,0.90129,0.59514,0.17548
435,30,0.87868,0.51488,0.13477
440,10,0.98461,0.90759,0.57698
440,15,0.96134,0.80625,0.364
440,20,0.9321,0.70062,0.24572
440,25,0.90309,0.60653,0.1788
440,30,0.88021,0.52707,0.13749
445,10,0.98466,0.9121,0.58514
445,15,0.9618,0.81426,0.37099
445,20,0.93302,0.71106,0.25083
445,25,0.90427,0.61839,0.18267
445,30,0.8811,0.53996,0.14061
450,10,0.9847,0.91648,0.59315
450,15,0.96223,0.82211,0.37796
450,20,0.9339,0.72133,0.25595
450,25,0.90543,0.63013,0.18654
450,30,0.88202,0.55279,0.14371
455,10,0.98415,0.92036,0.60055
455,15,0.96156,0.82922,0.38445
455,20,0.93322,0.73084,0.26071
455,25,0.90465,0.64113,0.19012
